Player;Age;Tm;PER;TRB%;AST%;STL%;BLK%
Truck Robinson;26;NOJ;15.7;17;6.8;0.9;1.1
Randy Smith;29;BUF;19.1;5;22.2;2.4;0.2
Elvin Hayes;32;WSB;17.1;16.4;6.5;1.3;2.4
Dave Cowens;29;BOS;18.6;17;15.7;1.4;1.1
Bob McAdoo;26;NYK;22;16.4;13.4;1.4;2
Bernard King;21;NJN;17.3;11.8;9.9;1.7;0.6
Artis Gilmore;28;CHI;23.5;19;14;0.6;3.2
David Thompson;23;DEN;23.2;6.6;19.3;1.3;1.7
Rick Barry;33;GSW;20.9;7.5;22.6;2.4;0.8
Ricky Sobers;25;IND;15.4;5.3;27.7;2.5;0.4
Scott Wedman;25;KCK;15.9;8;9.7;1.5;0.4
Phil Smith;25;GSW;16.5;5.2;19.6;1.7;0.5
John Lucas;24;HOU;16.4;4.6;34.8;2.6;0.2
Marvin Webster;25;SEA;17;18.1;9.6;0.8;3
Jim Chones;28;CLE;14.9;14.7;6.5;0.8;1
Calvin Murphy;29;HOU;19.5;3;14.9;1.8;0.1
Wilbur Holland;26;CHI;14.1;5.6;16.8;2.7;0.3
Mickey Johnson;25;CHI;17.4;14;14.4;1.5;1.3
Larry Kenon;25;SAS;19;14.1;13.1;1.8;0.4
George Gervin;25;SAS;24.7;7.7;16.1;2.1;1.9
Dan Issel;29;DEN;21.5;14.9;16.1;1.6;0.7
John Havlicek;37;BOS;14.3;6;17.1;1.5;0.4
Bob Wilkerson;23;DEN;10;8.8;20.9;2;0.4
Norm Nixon;22;LAL;14.1;4.4;26;2.2;0.1
Swen Nater;28;BUF;16.9;19.9;11.4;0.7;0.9
Bob Dandridge;30;WSB;16.1;7.9;14.7;1.6;0.8
Mike Bantom;26;IND;14.8;10.7;12.2;1.6;0.9
Doug Collins;26;PHI;16.9;4.2;16.9;2;0.5
Marques Johnson;21;MIL;21.3;16.2;9.5;1.5;1.9
Brian Winters;25;MIL;16.4;4.8;20.2;2;0.5
Lionel Hollins;24;POR;14.3;5.3;19.6;2.6;0.6
